Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102593,15081376466.559593,0.8779812271613102
PolynomialRegression,83413.36423272327,10664698477.378294,0.9137152087019549
SGDRegressor,4.124312967884203e+17,1.808016756301751e+35,-1.462810681537577e+24
ANN,199340.50676502456,61456881208.476746,0.5027712991464011
RandomForest,98698.09533082192,15096171259.402899,0.8778615270483168
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
